credit.policy,purpose:educational,purpose:major_purchase,purpose:small_business,purpose:home_improvement,purpose:all_other,purpose:credit_card,purpose:debt_consolidation,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,0,0,0,0,1,0,0,0.0743,155.38,12.2061,3.72,812,6778.96,85607,0.7,0,0,0,0
1,0,0,0,0,0,0,1,0.0807,156.84,11.5129,2.3,742,3148.96,9698,19.4,0,0,0,0
1,0,0,0,0,0,1,0,0.1028,275.38,9.79813,6.4,692,7469.96,8847,26.9,1,1,0,0
1,0,0,0,1,0,0,0,0.0743,155.38,11.9184,0,777,7128.96,6053,19.5,0,0,0,0
1,0,0,0,1,0,0,0,0.0807,78.42,11.6082,11.33,762,6059.96,7274,13.1,0,0,0,0
1,0,0,0,0,0,1,0,0.087,158.3,11.2252,15.55,757,4770,66033,23,0,0,0,0
1,0,0,0,0,1,0,0,0.0743,155.38,11.4616,3.83,772,2535,3660,6.8,0,0,0,0
1,0,0,0,0,0,1,0,0.0743,155.38,11.3504,0.31,787,3540,216,0.6,0,0,0,0
1,0,0,0,0,0,1,0,0.1122,164.23,11.2898,1.21,672,3990,27185,16.1,3,0,1,0
1,0,0,0,0,0,0,1,0.0996,161.25,10.779,8.03,707,4320,28329,48.6,1,0,0,0
1,0,0,0,1,0,0,0,0.0933,159.77,12.1007,11.93,717,4498.96,60568,39.2,1,0,0,0
1,0,0,0,1,0,0,0,0.0807,156.84,12.1007,5.55,742,4019,40934,26.3,0,0,0,0
1,0,0,0,0,0,0,1,0.0743,155.38,11.6952,2.29,777,3540,8379,16.9,0,0,0,0
1,0,0,1,0,0,0,0,0.087,94.98,10.1266,14.54,752,2460,3660,7.8,1,0,0,0
1,0,0,0,1,0,0,0,0.1028,97.2,12.2061,0,677,3779.96,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0.1122,164.23,10.309,18.64,702,5190,15840,47.1,0,0,0,0
1,0,0,0,0,0,1,0,0.0838,167.02,11.2118,14.37,797,5610.96,6844,14.4,0,0,0,0
1,1,0,0,0,0,0,0,0.0775,168.6,8.9872,3,762,6659.96,1321,16.5,0,0,0,0
1,0,0,0,0,1,0,0,0.0838,160.72,10.3735,14.78,772,4379,4737,23.9,0,0,0,0
1,0,0,0,0,0,1,0,0.0901,159.03,11.1982,9.96,722,3089.96,23489,37.6,0,0,0,0
1,0,0,0,0,0,0,1,0.0743,178.69,11.7361,0.27,792,7488.96,2817,10.2,0,0,0,0
1,0,0,0,0,0,1,0,0.0743,155.38,10.7144,1.12,782,5807,1783,0,1,0,0,0
1,0,0,1,0,0,0,0,0.1028,323.98,10.2174,10.7,712,1379,3534,54.4,0,0,0,0
1,0,0,1,0,0,0,0,0.1059,813.65,10.779,4.05,762,2729.96,2422,23.3,0,0,0,0
1,1,0,0,0,0,0,0,0.0996,112.87,9.51044,16.44,712,1649.96,2864,41.1,1,0,0,0
1,0,0,0,0,0,0,1,0.1596,94.88,10.8628,12.57,627,1409,3075,92.3,1,0,0,0
1,0,0,1,0,0,0,0,0.1059,398.69,11.0021,17.12,747,14009,17214,8.1,2,1,0,0
1,0,0,0,0,0,1,0,0.1154,39.6,9.90349,2.04,662,1139,1153,75.8,2,0,0,0
1,0,0,0,0,0,1,0,0.1343,678.08,11.8845,10.15,682,4209.96,41674,74.1,0,0,0,1
1,0,0,0,0,0,1,0,0.1249,401.37,11.2252,15,682,4479,43039,93.4,3,0,0,0
1,0,0,0,0,1,0,0,0.0964,205.45,11.0021,7.72,712,2293.96,3362,69.3,0,0,0,0
1,0,0,0,0,0,0,1,0.1186,397.75,11.0821,7.14,682,8730,11868,71.9,0,2,0,0
1,0,0,0,0,1,0,0,0.0743,155.38,10.5966,2.55,772,8189.96,2562,14,2,0,0,0
1,0,0,0,0,1,0,0,0.1028,113.39,9.90349,1.5,682,1410,1882,32.4,0,0,0,0
1,0,0,0,0,0,0,1,0.1186,99.44,10.4955,7.47,667,2550,1064,70.9,2,0,1,0
1,0,0,0,0,0,1,0,0.0807,109.79,11.4927,8.52,752,4979.96,6432,6,0,1,0,0
1,0,0,0,0,1,0,0,0.1059,32.55,10.4338,14.47,687,1110,4485,36.9,1,0,0,1
1,0,0,0,0,1,0,0,0.0996,112.87,11.2645,11.06,702,4979.96,16310,20.5,0,1,0,0
1,0,0,0,0,0,0,1,0.0964,160.51,11.7753,8.55,712,5940,20969,40.2,0,0,0,0
1,0,0,0,0,0,0,1,0.1375,340.57,10.4631,17.38,707,2699.96,22213,65.9,0,0,0,0
1,0,0,0,1,0,0,0,0.0775,156.11,12.3239,6.48,752,5339.96,2160,2.3,1,0,0,0
1,0,0,0,0,0,1,0,0.0743,155.38,11.1563,4.56,812,9809,813,1,0,0,0,0
1,0,0,0,1,0,0,0,0.0807,235.25,11.9184,2.72,757,5202,23678,24.4,4,0,0,0
1,0,0,0,0,0,0,1,0.0996,257.99,10.779,15.13,722,2640,11289,47.8,3,0,0,0
1,0,0,1,0,0,0,0,0.1501,225.37,12.269,6.45,677,6240,56411,75.3,0,0,0,1
1,0,0,0,1,0,0,0,0.0964,80.26,11.2252,20,772,4920.96,269,3.8,3,0,0,1
1,0,0,0,1,0,0,0,0.128,84,10.3735,20,682,5492,3408,35.1,1,0,0,1
1,0,0,0,0,0,0,1,0.1122,507.46,10.5966,13.5,712,5368.96,6513,34.3,3,0,1,1
1,1,0,0,0,0,0,0,0.0743,124.31,10.5966,3.45,772,1739.96,330,11,0,0,0,0
1,0,0,0,0,0,1,0,0.087,63.32,11.1563,6.07,712,2550,5967,19.8,1,0,0,0
1,0,0,0,0,1,0,0,0.1091,130.79,9.79813,18,707,2192,5533,79.6,1,0,0,0
1,0,0,0,1,0,0,0,0.0775,93.67,11.7361,2.14,762,8370,21050,1,0,0,0,0
1,0,0,0,0,1,0,0,0.0775,93.67,10.8198,5.35,762,8370,21050,0.7,0,0,0,0
1,0,0,0,0,1,0,0,0.087,88.65,11.6952,15,742,3026,8155,14.9,1,0,0,0
1,0,0,0,0,1,0,0,0.0964,128.41,11.5129,15,722,3026,8155,14.9,1,0,0,0
1,0,0,0,1,0,0,0,0.087,94.98,11.0349,12.23,737,2729.96,3678,30.7,0,0,0,0
1,0,0,0,0,0,0,1,0.1217,179.8,10.4631,7.1,662,2944,2040,36.2,2,0,0,0
1,0,0,0,0,0,1,0,0.1533,444.05,11.0021,19.52,667,2700.96,33074,68.8,2,0,0,0
1,0,0,0,0,1,0,0,0.0775,124.89,11.0317,3.46,747,2519,1918,17.1,0,0,0,0
1,0,0,0,0,0,1,0,0.1533,644.3,11.4076,5.24,662,1770,22379,62.2,0,0,0,0
1,0,0,1,0,0,0,0,0.0964,642.02,11.4721,2.86,737,2190,10296,42.5,0,0,0,1
1,0,0,1,0,0,0,0,0.1154,104.76,9.61581,12.24,672,1289.96,2867,55.1,3,0,0,1
1,0,0,0,0,0,0,1,0.1122,157.66,10.309,12.36,682,1770,12310,86.1,0,0,0,0
1,0,0,0,0,0,0,1,0.087,383.87,11.9184,4.8,767,13350,61921,39.1,0,0,0,0
1,0,0,0,0,0,1,0,0.1122,217.6,11.3851,18,702,3725,16738,26.1,2,0,0,0
1,0,0,0,0,1,0,0,0.0807,297.99,11.0509,3.49,792,5939,40384,9.2,1,0,0,0
1,0,0,0,0,0,0,1,0.0775,156.11,10.7144,5,762,2131,1359,5.6,2,0,0,0
1,0,0,0,0,0,0,1,0.1154,329.95,12.3239,20,727,10292,107501,44.8,2,0,0,0
1,0,0,0,0,1,0,0,0.0807,313.67,12.061,0.72,787,8010,3054,5.6,3,0,0,0
1,0,0,0,0,1,0,0,0.0807,297.99,11.4076,2.44,792,8717.96,40384,9.6,0,0,0,0
1,0,0,0,1,0,0,0,0.0933,239.65,11.4404,9.66,792,4529,128000,0,3,0,0,0
1,0,0,0,0,0,0,1,0.0712,61.87,11.6784,0.43,772,5936,4709,18.5,0,0,0,0
1,0,0,0,0,1,0,0,0.1186,94.47,10.7144,2.8,667,5460,2850,75,0,1,0,0
1,0,0,1,0,0,0,0,0.1501,73.68,11.4721,16.89,702,4080,51,0,0,0,0,1
1,0,0,0,1,0,0,0,0.0807,313.67,11.9184,5.84,792,5364.96,37152,3.7,0,0,0,0
1,0,0,0,0,0,0,1,0.0933,543.2,11.2252,9.55,762,5699.96,3839,16.6,1,0,0,0
1,0,0,0,1,0,0,0,0.0807,313.67,11.3504,3.11,797,5363.96,37152,3.7,0,0,0,0
1,0,0,0,0,0,1,0,0.1217,266.37,11.1563,10.2,672,3598.96,26283,39.5,0,1,0,1
1,0,0,0,0,0,0,1,0.1028,210.6,10.7144,5.87,692,1741.96,5607,42.2,0,0,0,0
1,0,0,0,0,1,0,0,0.1249,234.15,10.0432,5.01,662,1110,1061,81.9,3,0,0,0
1,0,0,0,0,0,0,1,0.1028,323.99,11.6952,14.4,722,4679.96,56740,77.5,1,0,0,0
1,0,0,0,0,0,1,0,0.1059,235.96,10.9508,7.22,712,5519,40598,77.3,1,0,0,0
1,0,0,0,0,0,0,1,0.1438,352.22,11.1844,17.83,687,1289.96,3815,6.5,1,0,0,0
1,0,0,0,0,1,0,0,0.0743,117.31,11.6952,0,772,3929.96,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0.0712,64.96,11.6082,0.22,812,16213,50,0.3,0,0,0,0
1,0,0,1,0,0,0,0,0.1565,699.69,11.4295,1.53,667,3603.96,4569,56.4,1,0,0,0
1,1,0,0,0,0,0,0,0.1059,195.27,9.85219,8.15,692,3089.96,8528,86.1,0,0,0,0
1,0,0,0,0,0,1,0,0.1122,295.59,10.3859,22.15,747,2788.96,14345,45.8,0,0,0,0
1,0,0,1,0,0,0,0,0.1122,217.59,10.8198,18.38,707,3359,113,2.4,1,0,0,0
1,0,0,0,0,0,0,1,0.1375,263.09,11.0381,9.8,677,3089.96,12231,81,3,0,0,1
1,0,0,0,0,0,0,1,0.1467,248.43,10.9508,20.76,667,3750,13552,69.1,0,1,0,0
1,0,0,0,0,0,1,0,0.1028,194.4,11.3771,10.6,692,2489.96,16813,63.9,0,0,0,0
1,0,0,0,0,0,0,1,0.1249,301.04,10.5713,5.08,667,3690,26233,62.9,3,0,1,1
1,0,0,0,0,1,0,0,0.0743,163.92,11.3504,2.64,782,9210,5760,16,0,0,0,0
1,0,0,0,0,1,0,0,0.1028,150.66,10.7277,3.26,687,6509.96,105,35,1,1,0,1
1,0,0,0,0,0,0,1,0.1122,217.59,10.9526,13.77,682,2160,11490,95.7,0,0,0,0
1,0,0,0,1,0,0,0,0.1312,85.23,10.5966,20.67,692,5250,17641,30.5,3,1,0,0
1,0,0,0,0,1,0,0,0.1122,328.43,10.309,20.4,742,3270,0,0,3,0,0,0
1,0,0,0,0,1,0,0,0.0807,165.47,10.9151,12,797,8790,12430,19.2,1,0,0,0
1,0,0,0,0,0,0,1,0.1091,140.6,10.4913,9.87,707,1560,12323,44,0,0,0,0
1,0,0,0,0,1,0,0,0.1028,98.01,11.4076,9.13,697,3300,38624,97.8,0,0,0,0
1,0,0,1,0,0,0,0,0.1217,166.48,9.21034,0,662,2250,875,54.7,2,1,0,1
1,0,0,1,0,0,0,0,0.1249,284.32,11.3504,6.38,667,7229.96,1196,12,3,4,0,0
1,0,0,1,0,0,0,0,0.1438,194.15,13.0815,2.4,697,2759.96,26628,60.4,3,1,0,0
1,0,0,0,0,1,0,0,0.1028,138.51,10.3417,24.81,767,5789.96,6752,24.6,2,0,0,0
1,0,0,0,0,0,0,1,0.1249,70.25,9.43348,14.4,662,1469,458,91.6,1,0,0,1
1,0,0,0,0,0,1,0,0.0838,252.1,11.5617,9.71,752,3508.96,16786,44.7,0,0,0,0
1,0,0,0,0,1,0,0,0.0901,263.19,11.6952,12.16,742,9719.96,7336,29.9,0,0,0,0
1,0,0,0,0,1,0,0,0.0933,104.65,11.0349,3.83,702,3690,7089,41.9,1,0,0,0
1,0,0,0,0,0,0,1,0.0807,172.53,10.8967,6.29,742,5100,18388,68.9,0,0,0,0
1,0,0,0,0,0,1,0,0.0996,38.7,10.3735,1.13,677,1920,613,76.6,2,0,0,0
1,1,0,0,0,0,0,0,0.1249,100.35,10.2792,12.77,662,1110,566,51.5,3,1,0,1
1,0,0,0,0,0,0,1,0.128,335.98,10.5023,18.92,682,2219,9166,50.4,1,0,0,0
1,0,0,0,0,1,0,0,0.1091,163.49,10.5713,11.78,707,4889,5406,33.4,0,0,1,1
1,0,0,0,0,1,0,0,0.0996,32.25,10.4631,5.83,687,2158.96,1188,3,2,0,0,1
1,1,0,0,0,0,0,0,0.0996,96.75,9.79813,15.4,707,11249,12003,40.4,1,0,0,0
1,0,0,0,0,1,0,0,0.1059,72.42,11.0021,8.14,707,4800,20511,62,1,0,0,1
1,0,0,1,0,0,0,0,0.0964,90.68,11.1563,18,732,3691,55720,10,2,0,0,0
1,0,0,0,0,1,0,0,0.0807,259.58,10.7996,9.89,772,9870,7744,17.1,0,0,0,0
1,0,0,0,0,1,0,0,0.0964,169.32,11.1563,17.57,737,5429.96,51761,38,1,0,0,0
1,0,0,0,0,0,1,0,0.1154,205.4,10.7144,17.76,717,1500,579,23.2,0,0,0,0
1,0,0,0,0,0,0,1,0.1312,162.01,11.3504,16.87,707,9059.96,34776,54.3,0,0,0,1
1,0,0,0,0,0,0,1,0.1028,226.8,10.9223,10.05,692,1890,8047,33.8,0,0,0,0
1,0,0,0,0,1,0,0,0.1059,162.73,9.61581,24.4,737,3209.96,0,0,3,0,0,0
1,0,0,0,0,0,0,1,0.1154,158.38,10.1266,18.19,672,2586,409,81.8,0,1,0,0
1,0,0,1,0,0,0,0,0.0901,795.11,10.9508,8.93,822,9696.96,185,0.5,0,0,0,0
1,0,0,0,0,0,0,1,0.0996,158.83,11.3386,4.84,727,6330,48251,50.1,2,0,0,0
1,0,0,0,0,1,0,0,0.1028,97.2,10.5453,19.93,687,2580,772,96.5,0,0,0,0
1,0,0,0,0,0,0,1,0.1154,263.97,10.8198,8.04,672,3089,1019,4.5,1,1,0,0
1,0,0,1,0,0,0,0,0.1091,404.62,10.7518,16.39,692,5640,8332,39.9,2,0,0,0
1,0,0,0,0,1,0,0,0.0775,307.53,11.1563,9.09,797,6089.96,1790,4.5,1,0,0,0
1,0,0,0,0,0,0,1,0.128,839.95,11.2252,24.85,722,6330,62739,74.7,3,0,0,1
1,0,0,0,0,1,0,0,0.1059,269.31,11.5991,24.01,767,4665.96,29901,71.2,2,0,0,1
1,0,0,0,0,0,0,1,0.1186,265.18,10.859,11.31,667,1560,5867,74.3,1,0,0,0
1,0,0,0,1,0,0,0,0.0964,802.47,11.2645,0.8,732,2129.96,10605,22.1,1,0,0,0
1,0,0,0,0,0,0,1,0.1091,505.16,11.6952,16.97,697,9659,57196,44.5,3,0,0,1
1,0,0,0,1,0,0,0,0.0901,318.05,12.5245,2.97,712,4919,481,80.2,2,0,0,1
1,1,0,0,0,0,0,0,0.0838,315.12,10.309,4.2,737,1560,2282,19,1,0,0,0
1,0,0,0,0,1,0,0,0.1091,130.79,9.57498,8.92,672,1140,3614,61.3,1,0,0,0
1,0,0,0,0,0,0,1,0.1059,227.82,11.0588,8.5,682,6839.96,14930,79,1,0,1,0
1,0,0,0,0,0,1,0,0.0996,643.36,11.6613,13.07,727,10530,33989,82.9,0,0,0,0
1,0,0,0,0,1,0,0,0.147,51.78,10.1266,3.84,632,1530,1238,61.9,1,1,0,0
1,1,0,0,0,0,0,0,0.0901,572.48,10.6213,15.37,747,7500,4746,18.5,2,0,0,0
1,0,0,0,0,1,0,0,0.0775,149.87,9.95228,6.34,752,3029,3470,25.5,0,0,0,0
1,0,0,0,0,1,0,0,0.0996,96.75,11.0349,11.98,682,1799,12640,83.2,0,0,0,0
1,0,0,0,1,0,0,0,0.0712,92.8,11.4404,0,812,8250,368,1.2,0,0,0,0
1,0,0,0,0,0,1,0,0.1091,192.09,11.0974,19.82,677,4290,30597,89.5,1,1,0,0
1,0,0,0,0,1,0,0,0.1154,593.92,10.2036,10.8,682,5050,8537,75.5,0,0,0,0
1,0,0,0,0,0,0,1,0.1091,392.36,10.4631,15.74,692,1500.04,15649,54.5,2,0,0,0
1,1,0,0,0,0,0,0,0.0775,156.11,10.859,9.55,767,12960,4067,7.3,0,0,0,0
1,0,0,0,0,0,0,1,0.1028,155.52,10.4631,7.51,687,2795,5836,68.7,0,0,1,0
1,0,0,0,0,0,1,0,0.1028,485.99,11.3851,11.95,702,5070,24615,94.7,0,0,0,0
1,0,0,0,0,1,0,0,0.1028,116.64,10.309,7.88,687,5130.04,7600,71.7,0,0,1,0
1,0,0,0,0,0,0,1,0.1122,223.34,10.8396,18.68,682,1889.04,9495,87.9,2,0,0,1
1,0,0,0,0,0,1,0,0.0775,149.87,9.90349,10.26,757,6330.04,4921,30.4,0,0,0,0
1,1,0,0,0,0,0,0,0.1154,211.17,11.4616,1.83,667,3421.04,11200,23.2,1,0,0,0
1,0,0,0,0,0,0,1,0.0743,186.45,11.1373,6.11,777,7440.04,2444,5.6,3,0,0,0
1,0,0,0,0,0,0,1,0.0933,790.86,11.0021,0.82,767,2100,916,6.8,0,0,0,0
1,0,0,1,0,0,0,0,0.0901,795.11,13.331,3.83,782,3660,148829,6.6,5,0,0,1
1,0,0,0,0,0,1,0,0.087,126.65,10.6919,18.71,747,3630,3209,12.6,0,0,0,0
1,0,0,0,0,0,1,0,0.1091,294.27,11.2898,17.17,677,3840.04,7570,82.3,0,0,0,0
1,0,0,0,0,0,0,1,0.1091,404.62,11.2898,9.23,687,2519,13126,96.5,0,0,1,0
1,0,0,0,0,0,0,1,0.1186,397.77,11.9184,20.48,687,4452.04,66654,51.6,1,0,0,0
1,0,0,0,0,0,0,1,0.0743,178.68,11.4616,1.2,812,16259,50,0.3,0,0,0,0
1,1,0,0,0,0,0,0,0.1028,29.16,9.39266,16.7,687,2069,3084,65.6,3,0,0,1
1,0,0,1,0,0,0,0,0.0996,417.62,11.4295,6.48,712,5610.04,2598,23.8,1,0,0,0
1,0,0,0,0,0,1,0,0.1059,130.18,11.0349,17.81,682,6330.04,18168,68.5,2,0,0,0
1,0,0,0,0,1,0,0,0.1122,98.53,10.4013,22.79,682,9389,24218,85.3,2,0,0,0
1,0,0,0,0,1,0,0,0.0807,15.69,9.79813,4.27,722,1470,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0.1091,523.14,12.2061,10.7,697,7320,72303,73.7,1,0,0,0
1,0,0,0,0,1,0,0,0.087,557.23,11.9382,0.12,757,1128.04,1032,5,0,0,0,0
1,0,0,0,0,1,0,0,0.1122,315.3,10.6573,14.6,677,3630,133,4.2,1,0,0,0
1,0,0,0,0,0,0,1,0.1154,527.93,10.701,12.16,682,2130,34023,57.7,1,2,0,1
1,0,1,0,0,0,0,0,0.0743,93.23,11.1844,11.18,757,4500.04,12430,29.6,5,0,0,0
1,0,0,0,0,0,0,1,0.0775,202.94,10.779,13.53,787,10260,10742,8.9,3,0,0,0
1,0,0,0,0,0,0,1,0.1186,165.74,10.5966,7.02,667,2789.04,2197,75.8,0,2,0,1
1,0,0,0,0,1,0,0,0.1028,158.76,10.6919,15.3,692,4410,88,23.8,1,3,0,1
1,0,0,0,0,0,0,1,0.1028,485.99,10.8198,11.88,702,7020.04,13867,33.7,0,0,0,0
1,0,0,0,0,1,0,0,0.0996,322.49,11.1913,10.28,702,4920.04,3943,98.6,3,0,0,1
1,0,0,0,0,0,0,1,0.087,189.97,10.0858,19.45,757,3870.04,5405,40,2,0,0,0
1,0,0,0,0,0,0,1,0.1217,376.24,10.4223,23.96,712,3030.04,12102,49,1,0,0,0
1,0,0,0,0,0,0,1,0.1217,599.33,11.6105,18.3,682,4379,18076,81.4,1,0,0,0
1,0,0,0,0,0,0,1,0.1217,132.35,10.2036,23.2,702,5279.04,4504,39.2,1,0,0,1
1,0,0,1,0,0,0,0,0.1186,828.69,10.859,9.74,712,4859.04,25852,60.5,0,0,0,0
1,0,0,0,0,0,1,0,0.1091,604.88,10.859,17.56,707,8061,32438,43,0,1,0,0
1,0,0,0,0,0,0,1,0.087,538.23,10.9313,11.51,747,6240.04,20380,48.1,2,0,0,0
1,0,0,0,0,0,1,0,0.0933,172.55,10.6454,16.09,707,2220,38054,61.2,0,0,0,0
1,0,0,1,0,0,0,0,0.1091,604.88,10.4913,4.67,697,1410,25,0.2,2,0,0,0
1,0,0,0,0,1,0,0,0.0996,290.24,10.5453,3.38,697,1782,3305,55.1,2,0,0,0
1,0,1,0,0,0,0,0,0.1186,530.36,11.3667,15.1,682,3900,348,4.8,0,0,0,1
1,0,0,0,0,1,0,0,0.087,158.31,10.0858,6.15,722,1350,3015,25.3,0,0,0,0
1,0,0,0,0,0,0,1,0.1059,390.54,10.309,19.84,702,2042.04,7336,71.9,1,0,0,0
1,0,0,0,0,0,1,0,0.1249,301.04,10.859,4.98,662,6630.04,8644,72.6,1,0,0,0
1,0,0,1,0,0,0,0,0.1154,659.91,11.4721,17.81,707,3629,93,0,2,0,0,1
1,0,0,1,0,0,0,0,0.0743,217.52,10.669,1.65,777,2879,2698,9.5,0,0,0,0
1,0,0,0,1,0,0,0,0.1028,388.79,11.4825,5.58,697,4800.04,19009,30,0,0,0,0
1,0,1,0,0,0,0,0,0.087,158.31,10.779,0.38,717,12930,498,7.3,2,1,0,0
1,0,0,0,0,0,0,1,0.1217,319.64,11.0021,19.28,672,4740,10358,91.7,2,0,1,1
1,0,0,0,0,0,1,0,0.1028,103.68,11.2252,9.7,682,12780,2105,45.3,0,3,0,0
1,0,0,0,1,0,0,0,0.0964,154.08,11.0021,12.94,697,2969.04,2822,9.9,3,0,0,0
1,0,0,0,0,0,0,1,0.1059,650.9,11.5899,11.96,707,5070,21004,97.7,0,0,0,0
1,0,0,0,0,1,0,0,0.1375,81.74,10.7579,24.08,667,2820,11675,75.8,1,0,0,0
1,0,0,0,0,1,0,0,0.0901,238.54,9.87509,10.37,712,1230.04,3933,43.7,0,0,0,0
1,0,0,0,0,0,0,1,0.128,335.98,10.9819,7.51,662,4109.04,7251,80.6,3,0,2,0
1,0,0,0,0,1,0,0,0.1217,93.23,10.7144,19.19,692,4440.04,88,44,1,3,0,1
1,0,0,0,0,1,0,0,0.0933,95.87,10.5078,2.69,697,4680,1492,33.2,2,0,0,0
1,0,0,0,0,0,0,1,0.0996,95.94,10.1266,14.16,692,1918.04,7121,33.7,0,0,0,0
1,0,0,0,0,0,0,1,0.128,554.37,11.0349,19.22,677,3060.04,17641,69.5,2,0,0,0
1,0,0,1,0,0,0,0,0.1438,859.07,11.2898,20.79,682,3059.04,30946,61.5,3,0,0,1
1,0,1,0,0,0,0,0,0.0838,472.68,11.2516,7.96,772,5909.04,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0.1091,586.9,11.2252,10.34,697,2669.04,23391,90.7,1,0,0,0
1,0,1,0,0,0,0,0,0.0964,224.69,9.87817,21.23,772,5881,16324,48,0,0,0,0
1,0,0,0,0,0,0,1,0.128,483.81,10.4946,8.47,662,2670.04,7104,93.5,2,0,0,1
1,0,0,0,0,0,0,1,0.1217,399.55,10.0858,14.5,672,1950.04,9273,43.9,0,0,0,0
1,0,0,0,0,0,0,1,0.1186,232.04,10.8277,17.02,672,4380,6718,94.6,3,0,0,0
1,0,0,1,0,0,0,0,0.0964,802.47,11.2252,17.06,767,5691.04,12017,12.1,4,0,0,1
1,0,0,0,0,0,0,1,0.1091,304.9,11.1637,18.96,692,5430,5749,43.2,1,1,0,0
1,0,0,1,0,0,0,0,0.1249,836.23,11.2755,7.99,692,4739,6530,21.8,0,1,0,0
1,0,0,0,0,1,0,0,0.0775,124.89,10.0858,6,752,2729.04,2666,12.1,0,0,0,0
1,0,0,0,0,1,0,0,0.1028,113.4,10.779,17.65,687,2070,3761,55.4,2,0,0,0
1,0,0,0,0,0,1,0,0.1407,842.47,11.6952,12.81,677,5340.04,33698,91.3,0,0,0,0
1,0,0,0,0,0,0,1,0.1091,817.41,11.1982,22.13,737,9900,3472,4.5,1,0,0,1
1,0,0,0,0,0,0,1,0.1596,421.65,10.4629,20.82,667,6750.04,14534,48.9,3,1,0,0
1,1,0,0,0,0,0,0,0.0933,575.17,11.0021,9.96,732,2732.04,6703,47.5,1,0,0,0
